Provincias,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
,Tapenagá,Cote Lai,,--,--,,SI,--
CHACO,Tapenagá,Haumonía,,--,--,,--,
CHACO,,,--,,,--,,--
CHACO,,La Sabana,--,,--,--,,--
,Biedma,Arroyo Verde,,--,--,,--,
,Biedma,Puerto Madryn,SI,SI,SI,SI,SI,
,Biedma,Puerto Pirámide,--,--,--,SI,SI,SI
CHUBUT,Biedma,Quinta El Mirador,,--,--,,--,--
CORDOBA,,Cruz del Eje,SI,,,SI,,
CORDOBA,Cruz del Eje,,--,--,,--,--,--
CORDOBA,Cruz del Eje,El Rincón,,--,--,,--,--
,Cruz del Eje,Guanaco Muerto,,--,--,,--,--
,Cruz del Eje,La Banda,--,--,--,--,--,SI
CORDOBA,Cruz del Eje,La Batea,,--,--,,--,
CORDOBA,,La Higuera,SI,,--,SI,,--
CORDOBA,Cruz del Eje,,--,,,--,--,--
CORDOBA,Cruz del Eje,,--,--,,--,--,
CORDOBA,,,--,,,--,,
CORDOBA,Cruz del Eje,Media Naranja,,--,--,,--,--
,Cruz del Eje,Paso Viejo,,--,--,,SI,--
CORDOBA,,,--,,SI,SI,,--
CORDOBA,Cruz del Eje,,SI,--,,SI,SI,
,Cruz del Eje,Tuclame,,--,--,,--,--
,General Pueyrredón,Chapadmalal,SI,--,SI,SI,SI,SI
BUENOS AIRES,General Pueyrredón,,--,--,,--,,--
BUENOS AIRES,,Estacion Camet,--,,--,SI,,
BUENOS AIRES,,,SI,,,SI,,SI
BUENOS AIRES,General Pueyrredón,,SI,SI,,SI,SI,SI
,General Pueyrredón,Punta Mogotes,,--,--,,--,
BUENOS AIRES,General Pueyrredón,Sierra de los Padres,,--,SI,,SI,--
Buenos Aires,General Rodríguez,,--,--,,SI,--,--
BUENOS AIRES,,Country Club Bosque Real - Barrio Morabo,--,,--,SI,,--
CABA,COMUNA 05,,SI,SI,,SI,,
CHUBUT,,Comodoro Rivadavia,SI,,SI,SI,,SI
,Escalante,Diadema Argentina,,--,--,,--,--
,Escalante,Km. 11 - Cuarteles,--,--,--,--,--,--
,Escalante,KM. 3 - General Mosconi,,--,--,,--,--
CHUBUT,Escalante,KM. 5 - Presidente Ortiz,,--,--,,--,
CHUBUT,,,--,,,SI,,--
CABA,COMUNA 05,,SI,SI,,SI,SI,SI
CHUBUT,Escalante,Rada Tilly,,SI,SI,,SI,
,Florentino Ameghino,Camarones,,--,--,,SI,SI
CHUBUT,,Garayalde,--,,--,--,,--
CHUBUT,,,--,,,--,SI,SI
,Futaleufú,Corcovado,--,SI,--,--,SI,
CHUBUT,Futaleufú,Esquel,,SI,--,,SI,
Buenos Aires,Mar Chiquita,General Pirán,,SI,SI,,SI,--
Buenos Aires,Mar Chiquita,La Armonía,,--,--,,--,--
Buenos Aires,Mar Chiquita,,--,--,,SI,--,--
BUENOS AIRES,,,--,,,--,,
Buenos Aires,Mar Chiquita,Mar Chiquita,--,--,--,SI,SI,--
Buenos Aires,Mar Chiquita,Mar de Cobo,,SI,SI,,SI,--
Buenos Aires,Mar Chiquita,Playa Dorada,,--,--,,--,
Buenos Aires,Mar Chiquita,Santa Clara del Mar,SI,--,SI,SI,--,--
BUENOS AIRES,,,--,,,--,,--
BUENOS AIRES,,Vivoratá,--,,SI,SI,,--
BUENOS AIRES,,,--,,--,SI,,
BUENOS AIRES,Marcos Paz,,SI,SI,,SI,SI,
Buenos Aires,Mercedes,Goldney,--,--,--,--,--,--
BUENOS AIRES,Benito Juárez,Benito Juárez (Est. Juárez),,SI,SI,,SI,SI
BUENOS AIRES,Benito Juárez,,--,--,,--,--,
BUENOS AIRES,,,--,,,SI,,--
,Benito Juárez,Villa Cacique (Est. Alfredo Fortabat),--,--,SI,SI,--,SI
Buenos Aires,Berazategui,Berazategui,,SI,SI,,SI,SI
