Provincias,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
,Rivadavia,La Esperanza,,--,--,,--,
,Rivadavia,La Florida,--,--,--,--,--,
MENDOZA,,,--,,,--,,--
MENDOZA,,Los Árboles,--,,--,--,,--
,Rivadavia,Los Campamentos,--,--,--,SI,SI,
MENDOZA,Rivadavia,Medrano,,SI,--,,SI,--
MENDOZA,Rivadavia,,--,--,,SI,--,--
MENDOZA,,Reducción de Abajo,--,,--,--,,--
MENDOZA,Rivadavia,Rivadavia,,SI,SI,,SI,
,Rivadavia,Santa María de Oro,,--,--,,--,--
,General Manuel Belgrano,Bernardo de Irigoyen,--,--,SI,SI,SI,--
,General Manuel Belgrano,Caburei,,--,--,,--,--
MISIONES,,Dos Hermanas,--,,--,SI,,--
MISIONES,,,--,,,--,,
,General Manuel Belgrano,Piñalito Norte,,--,--,,--,--
,General Manuel Belgrano,Puerto Andresito,--,--,--,--,--,--
,General Manuel Belgrano,Puerto Deseado,,--,--,,--,--
,General Manuel Belgrano,San Antonio,--,--,--,SI,SI,
MISIONES,,,--,,,SI,,SI
MISIONES,,Fracrán,--,,--,SI,,--
MISIONES,,San Vicente,--,,SI,SI,,
MISIONES,Iguazú,,SI,--,,SI,SI,--
,Iguazú,Libertad,SI,--,--,,SI,--
MISIONES,Iguazú,Puerto Iguazú,,--,SI,,SI,SI
MISIONES,Iguazú,,--,--,,--,--,--
NEUQUEN,,,SI,,,SI,,
,Lácar,Villa Lago Meliquina,SI,--,SI,SI,SI,--
,Loncopué,Chorriaca,,--,--,,--,SI
NEUQUEN,,Loncopué,--,,--,SI,,
NEUQUEN,,,SI,,,SI,,
NEUQUEN,Los Lagos,,--,--,,--,SI,SI
NEUQUEN,,Andacollo,SI,,,--,,SI
NEUQUEN,Minas,Huinganco,,SI,--,,SI,
,Minas,Las Ovejas,--,--,--,--,SI,--
NEUQUEN,,,--,,,--,,--
NEUQUEN,Minas,,--,--,,--,--,--
NEUQUEN,,,--,,,SI,,
NEUQUEN,,Villa del Nahueve,--,,--,--,,
,Bariloche,San Carlos de Bariloche,,SI,SI,,SI,SI
,Bariloche,Villa Campanario,--,--,--,SI,--,--
,Bariloche,Villa Catedral,SI,--,--,SI,SI,
RIO NEGRO,Bariloche,Villa Llao Llao,,--,--,,SI,--
RIO NEGRO,,Villa Los Coihues,--,,,SI,,SI
RIO NEGRO,Bariloche,,--,--,,SI,--,--
RIO NEGRO,Conesa,Barrio Colonia Conesa,,--,--,,--,--
,Conesa,Barrio Planta Compresora de Gas,,--,--,,--,
RIO NEGRO,,General Conesa,SI,,SI,SI,,SI
RIO NEGRO,,,--,,,--,,SI
,El Cuy,Cerro Policía,--,--,SI,SI,SI,--
,El Cuy,El Cuy,,SI,--,,SI,
RIO NEGRO,El Cuy,Las Perlas,,--,SI,,--,SI
,El Cuy,Mencué,,--,--,,SI,SI
SALTA,Anta,,--,--,,SI,SI,
SALTA,,Gaona,--,,SI,SI,,SI
,Anta,General Pizarro,,--,SI,,--,SI
SALTA,Anta,Joaquín V. González,,--,SI,,SI,SI
SALTA,Anta,Las Lajitas,,--,SI,,SI,SI
,Anta,Luis Burela,--,--,--,--,--,
SALTA,Anta,,--,--,,--,,--
SALTA,,Nuestra Señora de Talavera,--,,--,SI,,--
SALTA,,,--,,,--,,
SALTA,Anta,,--,--,,--,--,SI
,Anta,Tolloche,,--,SI,,--,SI
SALTA,Cachi,Cachi,,--,SI,,SI,SI
SALTA,Cachi,,--,--,,SI,SI,
SALTA,,Cafayate,SI,,SI,SI,,
,Rawson,Rawson,SI,SI,--,SI,SI,SI
SAN JUAN,Rawson,Villa Bolaños,,--,--,,--,--
SAN JUAN,,Villa Krause,--,,--,SI,,--
SAN JUAN,Rivadavia,,SI,,,SI,SI,
SAN JUAN,San Martín,,--,--,,--,--,--
SAN JUAN,,,--,,,--,,--
SAN JUAN,San Martín,San Isidro (Est. Los Angacos),,--,--,,--,
,San Martín,Villa Dominguito (Est. Puntilla Blanca),,--,--,,--,
SAN JUAN,,,--,,SI,SI,,--
SAN JUAN,San Martín,,--,--,,--,--,--
SAN JUAN,,Villa San Martín,--,,--,SI,,
SAN JUAN,,,--,--,,SI,--,
,Santa Lucía,Colonia Gutierrez,--,--,--,SI,--,--
SAN JUAN,Santa Lucía,Santa Lucía,,SI,SI,,SI,--
SAN JUAN,Sarmiento,Cañada Honda,,--,SI,,SI,SI
,Gobernador Dupuy,Unión,,--,--,,SI,
SAN LUIS,Junín,,--,--,,--,--,--
SAN LUIS,,,--,,,--,,--
,Junín,Carpinteria,SI,--,--,SI,SI,
SAN LUIS,Junín,Cerrito Blanco,,--,--,,--,--
SAN LUIS,Junín,,SI,--,,--,SI,--
SAN LUIS,,El Duraznito,--,,--,--,,--
,Junín,La Chilca,,--,--,,--,
,Junín,La Lomita,--,--,--,--,--,--
,Junín,Lafinur,,--,--,,--,--
SAN LUIS,Junín,Las Palomas,,--,--,,--,--
SAN LUIS,,,--,,,--,,--
SAN LUIS,Junín,,--,--,,--,--,
SAN LUIS,Junín,Los Molles,,--,--,,SI,--
,Junín,Merlo,SI,--,SI,,SI,--
,Junín,Ojo Del Rio,--,--,--,--,--,
,Junín,Santa Ana,,--,--,,--,--
SAN LUIS,,Santa Rosa del Conlara,SI,,--,SI,,--
SANTA FE,,,--,,,SI,,--
SANTA FE,Caseros,,SI,--,,SI,SI,--
SANTA FE,,Los Nogales,--,,--,--,,
SANTA FE,Caseros,Los Quirquinchos,,--,--,,SI,--
,Caseros,San José de la Esquina,,--,--,SI,SI,--
SANTA FE,,,SI,,,SI,,
SANTA FE,Caseros,,SI,--,,SI,SI,
,Castellanos,Aldao (Est. Casablanca),,--,SI,,SI,--
,Castellanos,Angélica,SI,--,SI,SI,SI,--
SANTA FE,,,SI,,,SI,,
SANTA FE,,Aurelia,--,,--,--,,--
SANTA FE,,,--,,,SI,,--
SANTA FE,General López,,SI,--,,SI,SI,SI
,General López,Teodelina,--,--,--,SI,SI,
SANTA FE,General López,Venado Tuerto,,--,SI,,SI,
SANTA FE,General López,,SI,--,,SI,SI,--
SANTA FE,,,--,,,SI,,SI
SANTA FE,General Obligado,,--,--,,SI,SI,--
SANTA FE,,Avellaneda (Est. Ewald),SI,,,SI,,
SANTA FE,General Obligado,Berna,,--,--,,SI,--
,General Obligado,El Araza,--,--,--,SI,SI,--
,General Obligado,El Rabón,--,--,--,SI,--,
,Las Colonias,Sarmiento,,--,--,,SI,
SANTA FE,,Acebal,SI,,SI,SI,,--
SANTA FE,,,--,,,--,,--
SANTA FE,Rosario,Álvarez,,--,SI,,SI,--
,Rosario,Alvear,SI,--,SI,SI,SI,
SANTA FE,,Arbilla,SI,,--,--,,--
SANTA FE,Rosario,,--,--,,--,SI,--
,Rosario,Arroyo Seco,SI,--,SI,,SI,--
SANTA FE,Rosario,Carmen del Sauce,,--,SI,,--,
,Rosario,Coronel Bogado,,--,SI,,SI,--
,Rosario,Coronel Rodolfo S. Domínguez,--,--,--,SI,SI,--
SANTA FE,,,--,,,--,,
SANTA FE,,El Caramelo,SI,,SI,--,,--
,San Justo,Pedro Gómez Cello,--,--,--,SI,SI,--
,San Justo,Ramayón,,--,--,,SI,--
,San Justo,San Bernardo,,--,--,,--,
,San Justo,San Justo,SI,--,SI,SI,SI,--
SANTA FE,,,--,,,SI,,--
SANTA FE,,Silva (Est. Abipones),--,,--,--,,--
SANTA FE,,,SI,,,SI,,--
SANTA FE,San Justo,,SI,--,,SI,SI,
,San Lorenzo,Aldao,--,--,--,SI,SI,--
SANTA FE,San Lorenzo,Capitán Bermúdez,,--,SI,,SI,--
SANTA FE,San Lorenzo,,SI,--,,SI,SI,
SANTIAGO DEL ESTERO,,,--,,,SI,,--
,Copo,Monte Quemado,--,--,SI,SI,SI,SI
,Copo,Nueva Esperanza,,--,--,,--,SI
SANTIAGO DEL ESTERO,,Pampa de los Guanacos,--,,SI,SI,,
SANTIAGO DEL ESTERO,,,--,,,--,,
SANTIAGO DEL ESTERO,Copo,,--,--,,SI,--,--
SANTIAGO DEL ESTERO,,Bandera Bajada,--,,SI,SI,,--
SANTIAGO DEL ESTERO,Figueroa,Caspi Corral,,--,--,,--,--
,Figueroa,Colonia San Juan,,--,--,--,--,
SANTIAGO DEL ESTERO,,,--,,,--,,--
SANTIAGO DEL ESTERO,Figueroa,,--,--,,SI,--,--
SANTIAGO DEL ESTERO,Figueroa,,--,--,,SI,--,
SANTIAGO DEL ESTERO,,La Invernada,--,,SI,--,,--
,Figueroa,Minerva,,--,--,,--,--
,Figueroa,Vaca Huañuna,--,--,--,--,--,--
,Figueroa,Villa Figueroa,,--,SI,,--,
TUCUMAN,Burruyacú,Villa Burruyacú,,--,SI,,--,
TUCUMAN,,,--,,,--,,--
TUCUMAN,Capital,,SI,SI,,SI,SI,SI
TUCUMAN,Chicligasta,Alpachiri,,--,--,,--,
TUCUMAN,Chicligasta,Alto Verde,--,--,--,,SI,--
TUCUMAN,,Arcadia,SI,,--,--,,--
TUCUMAN,,,SI,--,,SI,SI,--
TUCUMAN,Chicligasta,Iltico,--,--,--,SI,--,
TUCUMAN,Chicligasta,La Trinidad,,--,--,,SI,--
TUCUMAN,Chicligasta,Medina,,--,--,,--,--
TUCUMAN,Chicligasta,San Roque,,--,--,,--,--
TUCUMAN,Cruz Alta,,--,--,,SI,SI,--
TUCUMAN,,,--,,,SI,,
TUCUMAN,Cruz Alta,Barrio Aeropuerto,--,--,--,SI,--,--
TUCUMAN,Cruz Alta,Colombres,,--,--,,SI,--
TUCUMAN,Cruz Alta,Colonia Mayo - Barrio La Milagrosa,--,--,--,--,--,--
TUCUMAN,Cruz Alta,Delfín Gallo,,--,--,,SI,
TUCUMAN,,El Bracho,--,,--,SI,,--
TUCUMAN,Cruz Alta,,--,,,SI,--,--
TUCUMAN,Cruz Alta,,--,--,,SI,--,
TUCUMAN,,,--,,,SI,,--
TUCUMAN,Cruz Alta,Ex Ingenio Los Ralos,,--,--,,--,--
TUCUMAN,Cruz Alta,Ex Ingenio Lujan,,--,--,,--,--
TUCUMAN,,,--,,--,SI,,--
TUCUMAN,Cruz Alta,,SI,--,,SI,SI,
TUCUMAN,Cruz Alta,Las Cejas,,--,--,,--,SI
TUCUMAN,Cruz Alta,Lastenia,--,--,--,SI,--,--
TUCUMAN,Cruz Alta,,--,--,,SI,,
TUCUMAN,,Los Gutierrez,--,,--,SI,,
TUCUMAN,,,--,,,--,,--
TUCUMAN,Cruz Alta,,--,--,,--,--,--
TUCUMAN,Cruz Alta,Ranchillos,,--,--,,SI,
TUCUMAN,Cruz Alta,San Andrés,,--,SI,,SI,--
TUCUMAN,Cruz Alta,,--,--,,SI,--,--
TUCUMAN,,Villa Tercera,--,,--,--,,--
TUCUMAN,,Barrio Casa Rosada,--,,--,SI,,--
TUCUMAN,,,--,,,SI,,
TUCUMAN,Famaillá,Ex Ingenio Nueva Baviera,--,--,--,SI,--,--
TUCUMAN,Famaillá,Famaillá,,--,SI,,SI,SI
TUCUMAN,Famaillá,Ingenio Fronterita,,--,--,,--,
TUCUMAN,Graneros,Graneros,,--,--,,SI,
TUCUMAN,Graneros,,--,--,,SI,SI,SI
TUCUMAN,,Taco Ralo,--,,--,SI,,--
TUCUMAN,Juan Bautista Alberdi,Juan Bautista Alberdi,,--,--,,SI,SI
TUCUMAN,Juan Bautista Alberdi,Villa Belgrano,,--,--,,SI,
TUCUMAN,,,SI,,,SI,,SI
TUCUMAN,,San José de La Cocha,--,,--,--,,SI
TUCUMAN,Leales,Bella Vista,,--,SI,,SI,--
TUCUMAN,Leales,Estación Aráoz,--,--,--,SI,--,
TUCUMAN,Leales,Los Puestos,--,--,--,SI,--,--
TUCUMAN,Leales,Manuel García Fernández,,--,--,,SI,--
TUCUMAN,,Pala Pala,--,,,SI,,
TUCUMAN,Leales,,--,--,,SI,--,--
TUCUMAN,Leales,Santa Rosa de Leales,,--,--,,SI,--
TUCUMAN,Leales,Villa de Leales,,--,--,,SI,--
TUCUMAN,Leales,Villa Fiad - Ingenio Leales,,--,--,,SI,
TUCUMAN,Lules,Barrio Araujo,--,--,--,SI,--,--
TUCUMAN,Lules,,--,--,,SI,--,--
TUCUMAN,,,--,,SI,SI,,--
TUCUMAN,,Ingenio San Pablo,SI,,SI,SI,,--
TUCUMAN,,,SI,,,SI,,
TUCUMAN,Río Chico,Santa Ana,SI,--,--,SI,SI,--
TUCUMAN,Río Chico,Villa Clodomiro Hileret,,--,--,,--,--
TUCUMAN,Simoca,,--,,,SI,--,
TUCUMAN,,Monteagudo,--,,--,SI,,
TUCUMAN,Simoca,Nueva Trinidad,,--,--,--,--,--
TUCUMAN,Simoca,Santa Cruz,,--,--,,--,--
TUCUMAN,,Simoca,--,,--,SI,,
TUCUMAN,Simoca,,--,--,,--,--,
TUCUMAN,,,--,,,SI,,SI
TUCUMAN,,Colalao del Valle,--,,--,SI,,--
TUCUMAN,Tafí del Valle,El Mollar,,--,--,,SI,
TUCUMAN,Tafí del Valle,Tafí del Valle,SI,--,--,SI,SI,
TUCUMAN,,Barrio El Cruce,--,,--,SI,,--
TUCUMAN,Tafí Viejo,,SI,--,,SI,,--
TUCUMAN,Tafí Viejo,,SI,--,,SI,SI,
TUCUMAN,,Barrio Parada 14,--,,--,SI,,
TUCUMAN,Tafí Viejo,Barrio U.T.A. II,,--,--,,--,--
TUCUMAN,Tafí Viejo,Diagonal Norte - Luz y Fuerza - Los Pocitos - Villa Nueva Italia (6),,--,SI,,SI,--
TUCUMAN,Lules,Lules,SI,--,SI,SI,SI,
TUCUMAN,Monteros,Acheral,,--,SI,,SI,
TUCUMAN,,Capitán Cáceres,--,,--,--,,--
TUCUMAN,,,SI,,,SI,,--
TUCUMAN,Monteros,Pueblo Independencia,,--,--,,SI,
TUCUMAN,Monteros,Río Seco,SI,--,SI,SI,SI,--
TUCUMAN,,,SI,,,SI,,--
TUCUMAN,Monteros,,--,--,,--,--,--
TUCUMAN,Monteros,Soldado Maldonado,--,--,--,--,--,
TUCUMAN,Monteros,Teniente Berdina,,--,--,,--,--
TUCUMAN,Monteros,Villa Quinteros,,--,--,,SI,--
TUCUMAN,Río Chico,Aguilares,SI,--,--,SI,SI,--
TUCUMAN,,,--,,,SI,,--
TUCUMAN,,Los Sarmientos,SI,,--,--,,
TUCUMAN,Río Chico,Río Chico,--,--,--,--,--,--
TUCUMAN,Tafí Viejo,El Cadillal,,--,--,,SI,--
TUCUMAN,Tafí Viejo,Tafí Viejo,,--,SI,,SI,
TUCUMAN,Tafí Viejo,Villa Las Flores,,--,--,,--,--
TUCUMAN,Tafí Viejo,,--,--,,SI,SI,--
TUCUMAN,,,--,,,SI,,--
TUCUMAN,,San Pedro de Colalao,--,,--,SI,,--
TUCUMAN,,,SI,--,,SI,SI,
TUCUMAN,Yerba Buena,Barrio San José III,--,--,--,SI,--,--
TUCUMAN,Yerba Buena,Cevil Redondo,,--,--,,--,--
TUCUMAN,,,--,,,--,,
TUCUMAN,,EX INGENIO SAN JOSE,--,,--,SI,,--
TUCUMAN,Yerba Buena,Villa Carmela,,--,--,,SI,--
TUCUMAN,Yerba Buena,Villa San Javier,,--,--,,--,--
TUCUMAN,,,SI,,,SI,,
SANTA FE,San Lorenzo,,SI,--,,SI,SI,
SANTA FE,San Lorenzo,,SI,--,,SI,SI,SI
SANTA FE,,Villa Elvira,--,,--,SI,,--
,San Lorenzo,Villa Mugueta,,--,--,,SI,
,San Martín,Cañada Rosquín,--,--,--,SI,SI,
SANTA FE,,Carlos Pellegrini,SI,,--,SI,,--
SANTA FE,,,--,,,SI,,--
SANTA FE,,,--,,,SI,,--
SANTA FE,San Martín,,--,--,,SI,--,
,San Martín,Crispi,,--,--,,SI,--
SANTA FE,San Martín,El Trébol,,--,SI,,SI,--
SANTA FE,San Martín,Landeta,,--,--,,SI,
,San Martín,Las Bandurrias,--,--,--,SI,--,
SANTA FE,San Martín,,--,--,,SI,,--
SANTA FE,,Los Cardos,SI,,--,SI,,SI
,San Martín,María Susana,SI,--,SI,SI,SI,--
,San Martín,Piamonte,,--,--,,SI,
SANTA FE,San Martín,,SI,--,,SI,SI,SI
SANTA FE,,,SI,,,SI,,--
SANTA FE,San Martín,Sastre,,--,SI,,SI,--
,San Martín,Traill,,--,--,,--,
,San Martín,Wildermuth (Est. Granadero B. Bustos),--,--,--,--,--,--
TUCUMAN,Vera,Calchaquí,,--,--,,SI,SI
SANTA FE,,Cañada Ombú,--,,--,SI,,
TUCUMAN,Vera,,--,,,--,--,SI
TUCUMAN,Vera,Fortín Olmos,,--,--,,SI,SI
TUCUMAN,Vera,Garabato,--,--,--,SI,SI,--
TUCUMAN,Vera,Golondrina,--,--,--,SI,SI,--
TUCUMAN,Vera,Intiyaco,,--,--,,SI,
SANTA FE,,,--,,,--,,--
TUCUMAN,Vera,,--,--,,SI,SI,--
SANTA FE,,,--,,,SI,,
SANTA FE,,Margarita,--,,--,SI,,SI
TUCUMAN,Vera,Paraje 29,,--,--,,--,SI
TUCUMAN,Vera,Pozo de los Indios,--,--,--,--,--,SI
SANTA FE,,Pueblo Santa Lucía,--,,--,SI,,--
SANTA FE,,,--,,,SI,--,
TUCUMAN,Vera,Toba,,--,--,,--,SI
TUCUMAN,Vera,Vera (Est. Gobernador Vera),,--,--,,SI,--
SANTIAGO DEL ESTERO,Aguirre,,--,--,,SI,--,
SANTIAGO DEL ESTERO,,Malbrán,SI,,--,SI,,
SANTIAGO DEL ESTERO,,Villa General Mitre (Est. Pinto),--,,--,SI,,SI
SANTIAGO DEL ESTERO,,,--,,,SI,,SI
TUCUMAN,Alberdi,Coronel Manuel L. Rico,--,--,--,--,--,
TUCUMAN,Alberdi,Donadeu,,--,SI,,--,--
TUCUMAN,Alberdi,,--,--,,SI,,SI
SANTIAGO DEL ESTERO,,Santos Lugares,--,,SI,--,,SI
SANTIAGO DEL ESTERO,,,--,,,SI,,
SANTIAGO DEL ESTERO,,Medellín,--,,SI,--,,
,Atamisqui,Villa Atamisqui,,--,SI,,SI,SI
,Avellaneda,Colonia Dora,SI,--,--,SI,SI,SI
,Avellaneda,Herrera,,--,--,SI,SI,SI
SANTIAGO DEL ESTERO,Banda,Tramo 20,,--,--,,--,
SANTIAGO DEL ESTERO,,Bandera,--,,SI,SI,,SI
SANTIAGO DEL ESTERO,Belgrano,,--,--,,--,SI,SI
SANTIAGO DEL ESTERO,Belgrano,Fortín Inca,,--,--,,SI,
,Belgrano,Guardia Escolta,,--,--,,SI,SI
SANTIAGO DEL ESTERO,,El Deán,--,,--,SI,,--
SANTIAGO DEL ESTERO,,,--,,,--,,SI
,Capital,El Zanjón,--,--,--,--,--,
,Capital,Los Cardozos,,--,SI,,--,--
SANTIAGO DEL ESTERO,Capital,Maco,,--,--,,--,--
,Capital,Maquito,--,--,--,SI,--,SI
SANTIAGO DEL ESTERO,Capital,,--,--,,--,--,--
SANTIAGO DEL ESTERO,,,--,,--,SI,,
,Capital,San Pedro,,--,--,,--,--
SANTIAGO DEL ESTERO,Capital,Santa María,,--,--,,--,--
,Avellaneda,Icaño,,--,--,,SI,
SANTIAGO DEL ESTERO,Avellaneda,Lugones,,--,--,,SI,SI
SANTIAGO DEL ESTERO,,,--,,,SI,,--
SANTIAGO DEL ESTERO,Avellaneda,,--,--,,SI,--,SI
SANTIAGO DEL ESTERO,,,--,--,,--,--,--
SANTIAGO DEL ESTERO,,Antajé,--,,--,--,,
SANTIAGO DEL ESTERO,Banda,Ardiles,,--,--,,--,--
,Banda,Cañada Escobar,--,--,--,--,--,--
SANTIAGO DEL ESTERO,,Chaupi Pozo,--,,SI,SI,,
SANTIAGO DEL ESTERO,,,--,,,SI,,
SANTIAGO DEL ESTERO,Banda,Huyamampa,,--,--,,--,--
,Banda,La Aurora,,--,--,,--,--
SANTIAGO DEL ESTERO,Banda,,SI,--,,SI,SI,
SANTIAGO DEL ESTERO,,,--,,,SI,,
SANTIAGO DEL ESTERO,,Los Quiroga,--,,--,SI,,SI
SANTIAGO DEL ESTERO,Banda,,--,--,,--,--,--
,Banda,Simbolar,--,--,--,SI,SI,SI
,Banda,Tramo 16,,--,--,,--,
SANTIAGO DEL ESTERO,,,SI,,,SI,,SI
SANTIAGO DEL ESTERO,,Averías,--,,--,--,,--
SANTIAGO DEL ESTERO,,Estación Tacañitas,--,,SI,SI,,
SANTIAGO DEL ESTERO,General Taboada,,--,--,,--,--,--
,General Taboada,Los Juríes,,--,SI,SI,SI,SI
SANTIAGO DEL ESTERO,General Taboada,Tomás Young,,--,--,,--,--
,Guasayán,Lavalle,,--,--,,SI,
,Guasayán,San Pedro,--,--,--,SI,--,
SANTIAGO DEL ESTERO,,,--,,,--,,SI
SANTIAGO DEL ESTERO,,El Bobadal,--,,--,SI,,SI
,Jiménez,El Charco,--,--,SI,SI,--,
SANTIAGO DEL ESTERO,Jiménez,El Rincón,,--,--,,--,--
SANTIAGO DEL ESTERO,Jiménez,,--,--,,--,--,--
SANTIAGO DEL ESTERO,,,--,,--,--,,--
SANTIAGO DEL ESTERO,Jiménez,Isca Yacu Semaul,,--,--,,--,
Buenos Aires,Moreno,Patay,--,--,--,--,--,--
,Jiménez,Pozo Hondo,--,--,SI,SI,SI,SI
,Jiménez,San Pedro,,--,--,,--,--
SANTIAGO DEL ESTERO,,El Colorado,--,,--,SI,,SI
SANTIAGO DEL ESTERO,,,--,,,--,,
SANTIAGO DEL ESTERO,Juan F. Ibarra,Matará,,--,SI,,SI,SI
,Juan F. Ibarra,Suncho Corral,SI,--,--,SI,SI,SI
SANTIAGO DEL ESTERO,Juan F. Ibarra,Vilelas,,--,--,,--,SI
,Juan F. Ibarra,Yuchán,--,--,--,SI,--,
SANTIAGO DEL ESTERO,Loreto,,--,--,,SI,--,SI
SANTIAGO DEL ESTERO,,Villa Unión,--,,,SI,,SI
SANTIAGO DEL ESTERO,,Aerolito,--,,--,--,,
SANTIAGO DEL ESTERO,,,--,,,--,,SI
Buenos Aires,Moreno,Hasse,--,--,--,--,--,--
Buenos Aires,Moreno,Hernán Mejía Miraval,,--,--,,--,SI
SANTIAGO DEL ESTERO,,,--,--,,SI,--,
SANTIAGO DEL ESTERO,,Libertad,--,,--,--,,
Buenos Aires,Moreno,Lilo Viejo,--,--,--,,--,--
Buenos Aires,Moreno,Pueblo Pablo Torelo (Est. Otumpa),,--,SI,,--,--
SANTIAGO DEL ESTERO,,Quimilí,SI,,--,SI,,
Buenos Aires,Moreno,,--,--,,--,--,
SANTIAGO DEL ESTERO,,,--,,,SI,,SI
SANTIAGO DEL ESTERO,,Weisburd,--,,--,SI,,--
,Ojo de Agua,El 49,,--,--,,--,
,Ojo de Agua,Sol de Julio,--,--,--,SI,--,SI
SANTIAGO DEL ESTERO,,Villa Ojo de Agua,--,,SI,SI,,--
SANTIAGO DEL ESTERO,Pellegrini,,--,--,,SI,--,--
SANTIAGO DEL ESTERO,Pellegrini,,--,--,,--,--,--
SANTIAGO DEL ESTERO,,,--,,,SI,,
SANTIAGO DEL ESTERO,Pellegrini,Pozo Betbeder,,--,--,,--,--
,Pellegrini,Rapelli,,--,SI,,SI,--
,Pellegrini,Santo Domingo,--,--,--,--,--,
SANTIAGO DEL ESTERO,Quebrachos,Ramírez de Velazco,,--,--,,--,
SANTIAGO DEL ESTERO,,Sumampa,--,,--,SI,,SI
SANTIAGO DEL ESTERO,Quebrachos,,--,--,,--,,--
,Río Hondo,Chañar Pozo de Abajo,,--,--,,--,--
,Río Hondo,Chauchillas,--,--,--,--,--,
SANTIAGO DEL ESTERO,,,--,,,SI,,SI
SANTIAGO DEL ESTERO,Río Hondo,,--,--,,--,--,SI
,Río Hondo,Gramilla,,--,--,,--,SI
SANTIAGO DEL ESTERO,Río Hondo,La Nueva Donosa,,--,--,,--,
SANTIAGO DEL ESTERO,Río Hondo,Los Miranda,,--,--,,--,--
,Río Hondo,Los Núñez,--,--,SI,SI,--,--
SANTIAGO DEL ESTERO,,,--,,,SI,--,
SANTIAGO DEL ESTERO,,Pozuelos,--,,--,--,,SI
,Río Hondo,Rodeo de Valdez,--,--,--,--,--,--
,Río Hondo,Sauzal,,--,--,,--,--
,Río Hondo,Termas de Río Hondo,SI,--,SI,SI,SI,
SANTIAGO DEL ESTERO,Río Hondo,Villa Giménez,,--,--,,--,--
SANTIAGO DEL ESTERO,,Villa Río Hondo,--,,--,SI,,--
SANTIAGO DEL ESTERO,,,--,--,,--,--,--
SANTIAGO DEL ESTERO,Río Hondo,,--,--,,SI,--,--
SANTIAGO DEL ESTERO,,,--,,,SI,,
SANTIAGO DEL ESTERO,Rivadavia,Palo Negro,,--,--,,--,--
,Rivadavia,Selva,,--,--,,SI,SI
SANTIAGO DEL ESTERO,,Beltrán,SI,,,SI,,
SANTIAGO DEL ESTERO,Robles,,--,--,,SI,--,
,Robles,Fernández,,--,SI,,SI,SI
,Robles,Ingeniero Forres (Est. Chaguar Punco),--,--,SI,--,SI,SI
SANTIAGO DEL ESTERO,Robles,,--,--,,SI,--,
SANTIAGO DEL ESTERO,,Chilca Juliana,--,,SI,--,,
SANTIAGO DEL ESTERO,,,--,,,SI,,SI
SANTIAGO DEL ESTERO,Salavina,,--,--,,SI,--,SI
,San Martín,Brea Pozo,,--,--,,SI,
SANTIAGO DEL ESTERO,San Martín,Estación Robles,,--,--,,--,
SANTIAGO DEL ESTERO,Capital,,SI,SI,,SI,SI,SI
SANTIAGO DEL ESTERO,,Vuelta de la Barranca,--,,--,SI,,--
SANTIAGO DEL ESTERO,,Yanda,--,,--,--,,
SANTIAGO DEL ESTERO,Choya,,--,--,,--,,
,Choya,Choya,SI,--,SI,SI,SI,SI
,Choya,Estación La Punta,,--,--,,SI,--
SANTIAGO DEL ESTERO,Choya,Frías,,--,SI,,SI,
,Choya,Laprida,,--,SI,,--,
SANTIAGO DEL ESTERO,Choya,,--,--,,--,--,--
SANTIAGO DEL ESTERO,,,--,,,SI,,--
,Choya,Villa La Punta,--,--,SI,,--,
SANTIAGO DEL ESTERO,Copo,El Caburé,,--,--,,--,--
SANTIAGO DEL ESTERO,,,--,,,--,--,--
SANTIAGO DEL ESTERO,,Los Pirpintos,--,,SI,SI,,SI
SANTIAGO DEL ESTERO,San Martín,Estación Taboada,,--,--,,--,
,San Martín,Villa Nueva,--,--,--,--,--,--
,Sarmiento,Garza,,--,--,,SI,SI
SANTIAGO DEL ESTERO,Silípica,Árraga,,--,SI,,--,SI
SANTIAGO DEL ESTERO,,,--,,,SI,,SI
SANTIAGO DEL ESTERO,Silípica,,--,--,,SI,--,
SANTIAGO DEL ESTERO,Silípica,Sumamao,,--,--,,--,--
,Silípica,Villa Silípica,--,--,--,--,--,--
,ANTARTIDA ARGENTINA,Base Belgrano Ii,--,--,--,--,--,
,ANTARTIDA ARGENTINA,Base Brown,,--,--,,--,--
TIERRA DEL FUEGO,,Base Carlini,--,,--,--,,--
TIERRA DEL FUEGO,,,--,,,SI,,--
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,,--,--,,SI,--,--
TIERRA DEL FUEGO,,,--,,--,--,,
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Base Orcadas,,--,--,,--,--
,ANTARTIDA ARGENTINA,Base San Martin,--,--,--,--,--,--
TIERRA DEL FUEGO,,,--,,,--,,
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,,--,--,,--,--,--
,ANTARTIDA ARGENTINA,Destacamento Melchior,,--,--,,--,--
,ANTARTIDA ARGENTINA,Destacamento Petrel,--,--,--,--,--,--
SANTA FE,,,SI,,,SI,,
SANTA FE,,San Antonio de Obligado,SI,,--,SI,,
SANTA FE,,Tacuarendí (Emb. Kilómetro 421),SI,,--,SI,,--
