Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2015,4,Río Negro,98655,1067,99.722
2015,4,Salta,101917,3,101.920
2015,4,San Juan,51408,621,52.029
2015,4,San Luis,12901,317,13.218
2015,4,Santa Cruz,26047,356,26.403
2015,4,Santa Fe,561045,627,561.672
2015,4,Santiago Del Estero,39132,3,39.135
2015,4,Tierra Del Fuego,29334,619,29.953
2015,4,Tucumán,146053,42,146.095
2015,3,Buenos Aires,2916070,12695,2.928.765
2015,3,Capital Federal,1362193,9875,1.372.068
2015,3,Catamarca,26080,13,26.093
2015,3,Chaco,85354,16,85.370
2015,3,Chubut,62143,1740,63.883
2015,3,Córdoba,622761,237,622.998
2015,3,Corrientes,84931,28,84.959
2015,3,Entre Ríos,172252,182,172.434
2015,3,Formosa,27751,1,27.752
2015,3,Jujuy,39548,2,39.550
2015,3,La Pampa,64976,495,65.471
2015,3,La Rioja,16753,18,16.771
2015,3,Mendoza,169261,1562,170.823
2015,3,Misiones,91615,7,91.622
2015,3,Neuquén,98376,2240,100.616
2015,3,Río Negro,98529,1085,99.614
2015,3,Salta,100570,3,100.573
2015,3,San Juan,51409,621,52.030
2015,3,San Luis,12902,317,13.219
2015,3,Santa Cruz,25912,359,26.271
2015,3,Santa Fe,556097,641,556.738
2015,3,Santiago Del Estero,39394,3,39.397
2015,3,Tierra Del Fuego,33118,619,33.737
2015,3,Tucumán,144272,42,144.314
2015,2,Buenos Aires,2871079,12711,2.883.790
2015,2,Capital Federal,1336391,9893,1.346.284
2015,2,Catamarca,25666,13,25.679
2015,2,Chaco,83832,16,83.848
2015,2,Chubut,61745,1740,63.485
2015,2,Córdoba,609510,236,609.746
2015,2,Corrientes,83288,28,83.316
2015,2,Entre Ríos,169309,183,169.492
2015,2,Formosa,27013,37,27.050
2015,2,Jujuy,37720,2,37.722
2015,2,La Pampa,63552,500,64.052
2015,2,La Rioja,16491,18,16.509
2015,2,Mendoza,169259,1564,170.823
2015,2,Misiones,88512,7,88.519
2015,2,Neuquén,95644,2241,97.885
2015,2,Río Negro,97640,1087,98.727
2015,2,Salta,98264,3,98.267
2015,2,San Juan,51367,621,51.988
2015,2,San Luis,12904,317,13.221
2015,2,Santa Cruz,25384,379,25.763
2015,2,Santa Fe,545739,649,546.388
2015,2,Santiago Del Estero,39375,3,39.378
2015,2,Tierra Del Fuego,32960,619,33.579
2015,2,Tucumán,140635,42,140.677
2015,1,Buenos Aires,2847076,14766,2.861.842
2015,1,Capital Federal,1321139,11582,1.332.721
2015,1,Catamarca,25312,20,25.332
2015,1,Chaco,81329,31,81.360
2015,1,Chubut,63327,1946,65.273
2015,1,Córdoba,596663,294,596.957
2015,1,Corrientes,81488,43,81.531
2015,1,Entre Ríos,165839,231,166.070
2015,1,Formosa,26657,43,26.700
2015,1,Jujuy,36608,3,36.611
2015,1,La Pampa,62155,542,62.697
2015,1,La Rioja,16310,23,16.333
2015,1,Mendoza,168355,1805,170.160
2015,1,Misiones,85139,7,85.146
2015,1,Neuquén,93373,2369,95.742
2015,1,Río Negro,96145,1188,97.333
2015,1,Salta,96793,18,96.811
2015,1,San Juan,51117,702,51.819
2015,1,San Luis,12878,354,13.232
2015,1,Santa Cruz,26217,424,26.641
2015,1,Santa Fe,535640,797,536.437
2015,1,Santiago Del Estero,39244,8,39.252
2015,1,Tierra Del Fuego,32726,730,33.456
2015,1,Tucumán,138184,92,138.276
2014,4,Buenos Aires,2801178,15229,2.816.407
2014,4,Capital Federal,1318526,11994,1.330.520
2014,4,Catamarca,25472,21,25.493
2014,4,Chaco,65998,37,66.035
2014,4,Chubut,66557,1985,68.542
2014,4,Córdoba,590113,319,590.432
2014,4,Corrientes,65656,54,65.710
2014,4,Entre Ríos,140567,246,140.813
2014,4,Formosa,26156,51,26.207
2014,4,Jujuy,35999,3,36.002
2014,4,La Pampa,56813,567,57.380
2014,4,La Rioja,16379,23,16.402
2014,4,Mendoza,167766,1848,169.614
2014,4,Misiones,77222,7,77.229
2014,4,Neuquén,92999,2397,95.396
2014,4,Río Negro,95050,1210,96.260
2014,4,Salta,93921,26,93.947
2014,4,San Juan,51390,729,52.119
2014,4,San Luis,12788,359,13.147
2014,4,Santa Cruz,25277,436,25.713
2014,4,Santa Fe,528459,938,529.397
2014,4,Santiago Del Estero,39308,9,39.317
2014,4,Tierra Del Fuego,28249,741,28.990
2014,4,Tucumán,137329,95,137.424
2014,3,Buenos Aires,2835537,14028,2.849.565
2014,3,Capital Federal,1307195,10630,1.317.825
2014,3,Catamarca,24665,21,24.686
2014,3,Chaco,63710,36,63.746
2014,3,Chubut,67130,2007,69.137
2014,3,Córdoba,585231,200,585.431
2014,3,Corrientes,63516,33,63.549
2014,3,Entre Ríos,136618,115,136.733
2014,3,Formosa,25873,64,25.937
2014,3,Jujuy,33739,2,33.741
2014,3,La Pampa,61861,564,62.425
2014,3,La Rioja,15893,23,15.916
2014,3,Mendoza,166184,1740,167.924
2014,3,Misiones,75327,0,75.327
2014,3,Neuquén,100099,2268,102.367
2014,3,Río Negro,96629,1151,97.780
2014,3,Salta,92929,25,92.954
2014,3,San Juan,51031,748,51.779
2014,3,San Luis,12683,363,13.046
2014,3,Santa Cruz,25664,446,26.110
2014,3,Santa Fe,520196,691,520.887
2014,3,Santiago Del Estero,37539,9,37.548
2014,3,Tierra Del Fuego,28037,755,28.792
2014,3,Tucumán,131978,88,132.066
2014,2,Buenos Aires,2750430,14116,2.764.546
2014,2,Capital Federal,1299502,10713,1.310.215
2014,2,Catamarca,24660,23,24.683
2014,2,Chaco,63243,36,63.279
2014,2,Chubut,68503,2016,70.519
2014,2,Córdoba,576747,205,576.952
2014,2,Corrientes,62925,33,62.958
2014,2,Entre Ríos,135468,115,135.583
2014,2,Formosa,25535,65,25.600
2014,2,Jujuy,34359,2,34.361
2014,2,La Pampa,55048,580,55.628
2014,2,La Rioja,15889,23,15.912
2014,2,Mendoza,165046,1761,166.807
2014,2,Misiones,74689,0,74.689
2014,2,Neuquén,90053,2235,92.288
2014,2,Río Negro,94812,1145,95.957
2014,2,Salta,91949,25,91.974
2014,2,San Juan,50891,755,51.646
2014,2,San Luis,12691,364,13.055
2014,2,Santa Cruz,26710,459,27.169
2014,2,Santa Fe,511753,605,512.358
2014,2,Santiago Del Estero,38002,9,38.011
2014,2,Tierra Del Fuego,27443,766,28.209
2014,2,Tucumán,131981,88,132.069
2014,1,Buenos Aires,2725732,14144,2.739.876
2014,1,Capital Federal,1289204,10714,1.299.918
2014,1,Catamarca,24209,23,24.232
2014,1,Chaco,62520,36,62.556
2014,1,Chubut,68205,2016,70.221
2014,1,Córdoba,566705,205,566.910
2014,1,Corrientes,62203,33,62.236
2014,1,Entre Ríos,134216,115,134.331
2014,1,Formosa,25335,87,25.422
2014,1,Jujuy,33825,2,33.827
2014,1,La Pampa,53601,592,54.193
2014,1,La Rioja,15688,23,15.711
2014,1,Mendoza,164084,1761,165.845
2014,1,Misiones,73950,0,73.950
2014,1,Neuquén,88077,2303,90.380
2014,1,Río Negro,93909,1157,95.066
2014,1,Salta,91265,25,91.290
2014,1,San Juan,50543,755,51.298
2014,1,San Luis,12193,364,12.557
2014,1,Santa Cruz,26304,460,26.764
2014,1,Santa Fe,506000,612,506.612
2014,1,Santiago Del Estero,37124,9,37.133
2014,1,Tierra Del Fuego,27272,766,28.038
2014,1,Tucumán,129944,88,130.032
